steps,date,interval
00,2012-10-01,0,weekday
00,2012-10-01,5,weekday
00,2012-10-01,10,weekday
00,2012-10-01,15,weekday
00,2012-10-01,20,weekday
00,2012-10-01,25,weekday
00,2012-10-01,30,weekday
00,2012-10-01,35,weekday
00,2012-10-01,40,weekday
00,2012-10-01,45,weekday
00,2012-10-01,50,weekday
00,2012-10-01,55,weekday
00,2012-10-01,100,weekday
00,2012-10-01,105,weekday
00,2012-10-01,110,weekday
00,2012-10-01,115,weekday
00,2012-10-01,120,weekday
00,2012-10-01,125,weekday
00,2012-10-01,130,weekday
00,2012-10-01,135,weekday
00,2012-10-01,140,weekday
00,2012-10-01,145,weekday
00,2012-10-01,150,weekday
00,2012-10-01,155,weekday
00,2012-10-01,200,weekday
00,2012-10-01,205,weekday
00,2012-10-01,210,weekday
00,2012-10-01,215,weekday
00,2012-10-01,220,weekday
00,2012-10-01,225,weekday
00,2012-10-01,230,weekday
00,2012-10-01,235,weekday
00,2012-10-01,240,weekday
00,2012-10-01,245,weekday
00,2012-10-01,250,weekday
00,2012-10-01,255,weekday
00,2012-10-01,300,weekday
00,2012-10-01,305,weekday
00,2012-10-01,310,weekday
00,2012-10-01,315,weekday
00,2012-10-01,320,weekday
00,2012-10-01,325,weekday
00,2012-10-01,330,weekday
00,2012-10-01,335,weekday
00,2012-10-01,340,weekday
00,2012-10-01,345,weekday
00,2012-10-01,350,weekday
00,2012-10-01,355,weekday
00,2012-10-01,400,weekday
00,2012-10-01,405,weekday
00,2012-10-01,410,weekday
00,2012-10-01,415,weekday
00,2012-10-01,420,weekday
00,2012-10-01,425,weekday
00,2012-10-01,430,weekday
00,2012-10-01,435,weekday
00,2012-10-01,440,weekday
00,2012-10-01,445,weekday
00,2012-10-01,450,weekday
00,2012-10-01,455,weekday
00,2012-10-01,500,weekday
00,2012-10-01,505,weekday
00,2012-10-01,510,weekday
00,2012-10-01,515,weekday
00,2012-10-01,520,weekday
00,2012-10-01,525,weekday
00,2012-10-01,530,weekday
00,2012-10-01,535,weekday
00,2012-10-01,540,weekday
00,2012-10-01,545,weekday
00,2012-10-01,550,weekday
00,2012-10-01,555,weekday
00,2012-10-01,600,weekday
00,2012-10-01,605,weekday
00,2012-10-01,610,weekday
00,2012-10-01,615,weekday
00,2012-10-01,620,weekday
00,2012-10-01,625,weekday
00,2012-10-01,630,weekday
00,2012-10-01,635,weekday
00,2012-10-01,640,weekday
00,2012-10-01,645,weekday
00,2012-10-01,650,weekday
00,2012-10-01,655,weekday
00,2012-10-01,700,weekday
00,2012-10-01,705,weekday
00,2012-10-01,710,weekday
00,2012-10-01,715,weekday
00,2012-10-01,720,weekday
00,2012-10-01,725,weekday
00,2012-10-01,730,weekday
00,2012-10-01,735,weekday
00,2012-10-01,740,weekday
00,2012-10-01,745,weekday
00,2012-10-01,750,weekday
00,2012-10-01,755,weekday
00,2012-10-01,800,weekday
00,2012-10-01,805,weekday
00,2012-10-01,810,weekday
00,2012-10-01,815,weekday
00,2012-10-01,820,weekday
00,2012-10-01,825,weekday
00,2012-10-01,830,weekday
00,2012-10-01,835,weekday
00,2012-10-01,840,weekday
00,2012-10-01,845,weekday
00,2012-10-01,850,weekday
00,2012-10-01,855,weekday
00,2012-10-01,900,weekday
00,2012-10-01,905,weekday
00,2012-10-01,910,weekday
00,2012-10-01,915,weekday
00,2012-10-01,920,weekday
00,2012-10-01,925,weekday
00,2012-10-01,930,weekday
00,2012-10-01,935,weekday
00,2012-10-01,940,weekday
00,2012-10-01,945,weekday
00,2012-10-01,950,weekday
00,2012-10-01,955,weekday
00,2012-10-01,1000,weekday
00,2012-10-01,1005,weekday
00,2012-10-01,1010,weekday
00,2012-10-01,1015,weekday
00,2012-10-01,1020,weekday
00,2012-10-01,1025,weekday
00,2012-10-01,1030,weekday
00,2012-10-01,1035,weekday
00,2012-10-01,1040,weekday
00,2012-10-01,1045,weekday
00,2012-10-01,1050,weekday
00,2012-10-01,1055,weekday
00,2012-10-01,1100,weekday
00,2012-10-01,1105,weekday
00,2012-10-01,1110,weekday
00,2012-10-01,1115,weekday
00,2012-10-01,1120,weekday
00,2012-10-01,1125,weekday
00,2012-10-01,1130,weekday
00,2012-10-01,1135,weekday
00,2012-10-01,1140,weekday
00,2012-10-01,1145,weekday
00,2012-10-01,1150,weekday
00,2012-10-01,1155,weekday
00,2012-10-01,1200,weekday
00,2012-10-01,1205,weekday
00,2012-10-01,1210,weekday
00,2012-10-01,1215,weekday
00,2012-10-01,1220,weekday
00,2012-10-01,1225,weekday
00,2012-10-01,1230,weekday
00,2012-10-01,1235,weekday
00,2012-10-01,1240,weekday
00,2012-10-01,1245,weekday
00,2012-10-01,1250,weekday
00,2012-10-01,1255,weekday
00,2012-10-01,1300,weekday
00,2012-10-01,1305,weekday
00,2012-10-01,1310,weekday
00,2012-10-01,1315,weekday
00,2012-10-01,1320,weekday
00,2012-10-01,1325,weekday
00,2012-10-01,1330,weekday
00,2012-10-01,1335,weekday
00,2012-10-01,1340,weekday
00,2012-10-01,1345,weekday
00,2012-10-01,1350,weekday
00,2012-10-01,1355,weekday
00,2012-10-01,1400,weekday
00,2012-10-01,1405,weekday
00,2012-10-01,1410,weekday
00,2012-10-01,1415,weekday
00,2012-10-01,1420,weekday
00,2012-10-01,1425,weekday
00,2012-10-01,1430,weekday
00,2012-10-01,1435,weekday
00,2012-10-01,1440,weekday
00,2012-10-01,1445,weekday
00,2012-10-01,1450,weekday
00,2012-10-01,1455,weekday
00,2012-10-01,1500,weekday
00,2012-10-01,1505,weekday
00,2012-10-01,1510,weekday
00,2012-10-01,1515,weekday
00,2012-10-01,1520,weekday
00,2012-10-01,1525,weekday
00,2012-10-01,1530,weekday
00,2012-10-01,1535,weekday
00,2012-10-01,1540,weekday
00,2012-10-01,1545,weekday
00,2012-10-01,1550,weekday
00,2012-10-01,1555,weekday
00,2012-10-01,1600,weekday
00,2012-10-01,1605,weekday
00,2012-10-01,1610,weekday
00,2012-10-01,1615,weekday
00,2012-10-01,1620,weekday
00,2012-10-01,1625,weekday
00,2012-10-01,1630,weekday
00,2012-10-01,1635,weekday
00,2012-10-01,1640,weekday
00,2012-10-01,1645,weekday
00,2012-10-01,1650,weekday
00,2012-10-01,1655,weekday
00,2012-10-01,1700,weekday
00,2012-10-01,1705,weekday
00,2012-10-01,1710,weekday
00,2012-10-01,1715,weekday
00,2012-10-01,1720,weekday
00,2012-10-01,1725,weekday
00,2012-10-01,1730,weekday
00,2012-10-01,1735,weekday
00,2012-10-01,1740,weekday
00,2012-10-01,1745,weekday
00,2012-10-01,1750,weekday
00,2012-10-01,1755,weekday
00,2012-10-01,1800,weekday
00,2012-10-01,1805,weekday
00,2012-10-01,1810,weekday
00,2012-10-01,1815,weekday
00,2012-10-01,1820,weekday
00,2012-10-01,1825,weekday
00,2012-10-01,1830,weekday
00,2012-10-01,1835,weekday
00,2012-10-01,1840,weekday
00,2012-10-01,1845,weekday
00,2012-10-01,1850,weekday
00,2012-10-01,1855,weekday
00,2012-10-01,1900,weekday
00,2012-10-01,1905,weekday
00,2012-10-01,1910,weekday
00,2012-10-01,1915,weekday
00,2012-10-01,1920,weekday
00,2012-10-01,1925,weekday
00,2012-10-01,1930,weekday
00,2012-10-01,1935,weekday
00,2012-10-01,1940,weekday
00,2012-10-01,1945,weekday
00,2012-10-01,1950,weekday
00,2012-10-01,1955,weekday
00,2012-10-01,2000,weekday
00,2012-10-01,2005,weekday
00,2012-10-01,2010,weekday
00,2012-10-01,2015,weekday
00,2012-10-01,2020,weekday
00,2012-10-01,2025,weekday
00,2012-10-01,2030,weekday
00,2012-10-01,2035,weekday
00,2012-10-01,2040,weekday
00,2012-10-01,2045,weekday
00,2012-10-01,2050,weekday
00,2012-10-01,2055,weekday
00,2012-10-01,2100,weekday
00,2012-10-01,2105,weekday
00,2012-10-01,2110,weekday
00,2012-10-01,2115,weekday
00,2012-10-01,2120,weekday
00,2012-10-01,2125,weekday
00,2012-10-01,2130,weekday
00,2012-10-01,2135,weekday
00,2012-10-01,2140,weekday
00,2012-10-01,2145,weekday
00,2012-10-01,2150,weekday
00,2012-10-01,2155,weekday
00,2012-10-01,2200,weekday
00,2012-10-01,2205,weekday
